nUandnH 		, nCU  			, aabb , bccc
nUandnP 		, nUandnH  		, aabb , bcbc
nH 				, nUandnH  		, aabb , abab
nU 				, nUandnH  		, aabb , bbcc
nUornH 			, nU  			, aabb , abab
nUornH 			, nH  			, aabb , bbcc
nU 				, nUandnP  		, abbb , bccc
nQandnP 		, nUandnP  		, abbb , aabb
nQ 				, nUornH  		, abbb , baaa
nQ 				, nQandnP  		, aabb , bbcc
nP 				, nQandnP  		, aabb , abab
nQornP 			, nUornP  		, aabb , abbb
nUornP 			, nP  			, aabb , bbcc
nUornP 			, nQandnP  		, aabb , bbcc
nQandnP 		, nH  			, aabb , cbcc
nUornP 			, nUornH  		, aabb , abab
nP 				, nUandnP  		, aabb , abab
nUornP 			, nU  			, aabb , abab
nQornP 			, nQ  			, aabb , abab
nUornH 			, nP  			, aabb , bbcc
nUornP 			, nQ  			, abbb , baaa
nH 				, nU  			, aabb , abbb
nH 				, nUandnP  		, abbb , baaa
nQ 				, nUornP  		, abbb , baaa
nQ 				, nP  			, aabb , bbcc
nP 				, nUornH  		, aabb , abab
nP 				, nQ  			, aabb , abab
nP 				, nU  			, aabb , abab
nUornH 			, nQandnP  		, aabb , abab
nU 				, nH  			, aabb , bbcc
nU 				, nP  			, aabb , bbcc
nU 				, nQandnP  		, aabb , bbcc
nQandnP 		, nUornH  		, abaa , abbb
nUandnP 		, nH  			, aabb , bbcc